Genus,Specie,Taxon name
Abralia,veranyi,Abralia veranyi
Adamsia,carcinopados,Adamsia carcinopados
Aequipecten,opercularis,Aequipecten opercularis
Aequipecten,opercularis,Aequipecten opercularis
Alloteuthis,media,Alloteuthis media
Anamathia,rissoana,Anamathia rissoana 
Ancistrocheirus,lesueurii,Ancistrocheirus lesueurii
Arctozenus,risso,Arctozenus risso
Argyropelecus,hemigymnus,Argyropelecus hemigymnus
Aristaemorpha,foliacea,Aristaemorpha foliacea
Aristeus,antennatus,Aristeus antennatus
Astropecten,irrelgularis,Astropecten irrelgularis
Astropecten,irrelgularis,Astropecten irrelgularis
Aulopus,filamentosus,Aulopus filamentosus
Axinella,damicornis,Axinella damicornis
Bathypolypus,sponsalis,Bathypolypus sponsalis
Bathypterois,mediterraneus,Bathypterois mediterraneus
Bertellina,edwardsii,Bertellina edwardsii
Berthella,aurantiaca,Berthella aurantiaca
Bolma,rugosa,Bolma rugosa
